Description_1_Word,Description_1_Frequency,Description_2_Word,Description_2_Frequency,Description_3_Word,Description_3_Frequency,Description_4_Word,Description_4_Frequency,Description_5_Word,Description_5_Frequency,Description_6_Word,Description_6_Frequency,Overall_Word,Overall_Frequency
shape,1,utilise,1,ivy,1,mark,1,memory,1,world,1,feel,7
round,1,forest/,1,match,1,open,1,mannequin,1,atop,1,centre,7
sad,1,ruin,1,idea,1,consist,1,dystopian,1,unnatural,1,fall,7
photoshoot,1,clearly,1,cohesion,1,draw,1,nightmare,1,disproportionately,1,mouth,7
shite,1,cartoon,1,rise,1,stylize,1,disembodied,1,sixe,1,prey,7
blur,1,fluffy,1,screen,1,fragmented,1,pull,1,beard,1,stroke,7
rest,1,daylight,1,unnaturally,1,multi,1,incongruous,1,leafs,1,figure,7
infant,1,support,1,overlaid,1,have,1,idea,1,blended,1,shape,6
smoke,1,tress,1,reddish,1,detailed,1,feeling,1,young,1,bold,6
hand,1,light,1,nicely,1,mute,1,emotion,1,see,1,manner,6
screen,1,shine,1,redness,1,orangey,1,confused,1,cloudy,1,cloudy,6
bit,1,right,1,catch,1,anstract,1,reflect,1,dream,1,clear,6
gold,1,left,1,heavily,1,pallette,1,darkness,1,sparse,1,palace,6
take,1,avatar,1,sky,1,eather,1,overall,1,forebode,1,lush,6
wrone,1,te,1,see,1,primary,1,entwine,1,drawing,1,foliage,6
blackbird,1,formation,1,profile,1,coulorful,1,cobwebs,1,purple,1,balanced,6
frill,1,flatten,1,fine,1,pointed,1,miniature,1,photo,1,vegetation,6
bluey,1,go,1,arond,1,similar,1,skull,1,structure,1,colorful,6
place,1,tourist,1,smokey,1,design,1,insect,1,remove,1,wrap,6
studio,1,modern,1,decompose,1,relax,1,slightly,1,ability,1,disturbing,6
elegance,1,frame,1,log,1,fur,1,distressed,1,horizon,1,drawing,6
personify,1,fictitious,1,headshot,1,somewhat,1,fantasy,1,feeling,1,illustration,6
bold,1,calm,1,hand,1,predominate,1,illustration,1,curiosity,1,obscure,6
personalty,1,cruel,1,tweak,1,3,1,break,1,limit,1,swirl,6
pretty,1,man,1,overgrow,1,underneath,1,apart,1,thought,1,pastel,6
complexion,1,thing,1,blind,1,shade,1,device,1,instead,1,hole,6
live,1,sort,1,combination,1,feel,1,lifeless,1,analyse,1,creepy,6
set,1,fill,1,gloomy,1,hawk,1,crush,1,place,1,view,5
stylish,1,cyberpunk,1,sakura,1,natural,1,fight,1,fog,1,flight,5
ethereal,1,reflect,1,colourful,1,digitize,1,anymore,1,void,1,spread,5
blended,1,fantastical,1,texture,1,rendering,1,lack,1,imagination,1,coloured,5
palette,1,gravity,1,work,1,smear,1,struggle,1,combine,1,round,5
dreamlike,1,defy,1,have,1,digital,1,help,1,idea,1,mid,5
tranquil,1,cityscape,1,bird,1,paintstroke,1,double,1,fly,1,mixed,5
atmosphere,1,nestle,1,nest,1,left,1,crushed,1,separate,1,hand,5
8n,1,amidst,1,watercolor,1,mouth.yellow,1,ramification,1,right,1,closed,5
ground,1,verdant,1,ey,1,visible,1,appendage,1,sowa,1,effect,5
teal,1,environment,1,growth,1,exact,1,bad,1,z,1,ai,5
lovey,1,render,1,beneath,1,nature,1,nature,1,drugim,1,generate,5
similar,1,detailed,1,sight,1,obscure,1,idol,1,ptakiem,1,fi,5
shirt,1,reminiscent,1,coulorfull,1,palette,1,frightening,1,za,1,world,5
pigeon,1,concept,1,view,1,harmonious,1,protuberance,1,nim,1,sharp,5
pattern,1,three,1,vegetation,1,muted,1,artificial,1,na,1,cartoon,5
eagel,1,brownish,1,mute,1,soft,1,cyborg,1,gałęzi,1,man,5
delicate,1,snow,1,frida,1,pastel,1,characteristic,1,w,1,area,5
expression,1,consist,1,kahlo,1,deep,1,egg,1,dali,1,dreamy,5
try,1,height,1,withe,1,emphasize,1,sickness,1,widac,1,multiple,5
time,1,treehouse,1,blush,1,fragility,1,mould,1,chmury,1,landscape,5
draw,1,brick,1,cheek,1,wildness,1,unrecognizable,1,góry,1,dead,5
term,1,trunk,1,dominate,1,composition,1,gloomy,1,decorate,1,half,5
animal,1,stone,1,feel,1,angry,1,fill,1,type,1,leafs,5
vivid,1,medieval,1,unnerving,1,infuse,1,extremely,1,say,1,catch,5
s,1,effect,1,fairly,1,catchy,1,artistic,1,somewhat,1,growth,5
brunette,1,mansion,1,plain,1,hide,1,shoulder,1,ride,1,part,5
hover,1,senerio,1,focus,1,message,1,manner,1,bed,1,adorn,5
artist,1,love,1,result,1,intense,1,bulbous,1,composite,1,brush,5
resemble,1,plinth,1,find,1,dynamic,1,muted,1,feathery,1,beak,5
center,1,cartoonish,1,act,1,texture,1,interesting,1,texture,1,horror,5
wash,1,remind,1,focal,1,sense,1,beautiful,1,merge,1,dripping,5
digital,1,studio,1,point,1,opne,1,kid,1,dreamlike,1,scene,5
art,1,ghibli,1,vary,1,object,1,monotone,1,distant,1,organic,5
feature,1,isolated,1,wash,1,fill,1,piece,1,fat,1,type,4
cold,1,amountain,1,sorrounde,1,multiple,1,anatomy,1,babysitte,1,realism,4
classically,1,gold,1,little,1,power,1,area,1,gidital,1,ruffle,4
caucasian,1,edge,1,tendril,1,motivate,1,female,1,watercolour,1,sideways,4
angle,1,cliff,1,element,1,person,1,integrate,1,finch,1,striking,4
outstretche,1,glinde,1,reflect,1,escape,1,furutristic,1,stylize,1,bit,4
mottled,1,predominance,1,haired,1,fiery,1,elemnt,1,flora,1,photo,4
central,1,people,1,superimpose,1,flame,1,augment,1,ground,1,represent,4
focus,1,hold,1,partly,1,emerge,1,render,1,desert,1,model,4
appear,1,setting,1,human,1,watercolor,1,painterly,1,build,1,carry,4
somewhat,1,dense,1,fig,1,half,1,damaged,1,wrap,1,ground,4
androgynous,1,believable,1,drown,1,amidst,1,pinkish,1,person,1,similar,4
rounded,1,appropriate,1,gallery,1,ccolor,1,scull,1,bloom,1,vivid,4
chin,1,add,1,paris,1,expressive,1,hang,1,sweet,1,slightly,4
assume,1,realism,1,smoky,1,dramatic,1,unidentifiable,1,feel,1,focus,4
colored,1,mean,1,place,1,water,1,troubled,1,setting,1,tone,4
portrait,1,clolour,1,part,1,merge,1,body,1,emphasise,1,modern,4
fair,1,digitize,1,paint,1,wear,1,childlike,1,dull,1,sci,4
haired,1,mirror,1,twine,1,large,1,mangle,1,bright,1,magical,4
expose,1,digital,1,drop,1,wall,1,flesh,1,catch,1,detail,4
cloudy,1,contrast,1,troubled,1,gold,1,remind,1,sparrow,1,see,4
cloud,1,huge,1,outdoor,1,powerful,1,science,1,good,1,kind,4
standinde,1,atop,1,setting,1,strong,1,fiction,1,digital,1,sort,4
closed,1,beach,1,infuse,1,capture,1,grayish,1,consist,1,render,4
fragment,1,radiate,1,dreamy,1,great,1,tone,1,flat,1,golden,4
headpiece,1,centre,1,painterly,1,detail,1,stalk,1,tan,1,butterfly,4
looks,1,leave,1,aesthetic,1,set,1,drab,1,inside,1,combination,4
lie,1,main,1,warm,1,portray,1,run,1,stylised,1,have,4
cool,1,past,1,realistic,1,adorn,1,add,1,hollowed,1,little,4
thought,1,seamlessly,1,photography,1,main,1,feel,1,pinecone,1,portray,4
craw,1,highveld,1,delicate,1,neck,1,sinister,1,adorn,1,pic,4
make,1,grad,1,visible,1,right,1,ai,1,snail,1,brushstroke,4
sweeet,1,1900s,1,adorn,1,spatter,1,generate,1,twig,1,subject,4
attire,1,reflective,1,stylize,1,drip,1,scattered,1,rocky,1,fire,4
majestically,1,futurisitc,1,traditional,1,thite,1,stroke,1,cliff,1,emerge,4
ready,1,giant,1,angle,1,spin,1,sorrowful,1,colourful,1,drip,4
seamlessly,1,include,1,pull,1,alert,1,sword,1,have,1,brain,4
integrate,1,nice,1,bun,1,menacing,1,knife,1,present,1,unsettling,4
headdress,1,golden,1,carnival,1,symbolic,1,eyebrow,1,simple,1,protrude,4
wide,1,present,1,theatrical,1,canvas,1,eyelash,1,complex,1,position,3
hold,1,shin,1,mask,1,curved,1,instead,1,assemblage,1,pose,3
small,1,metropolis,1,period,1,mouth,1,infest,1,inorganic,1,blonde,3
twig,1,buliding,1,neutral,1,ugly,1,sticky,1,carry,1,atop,3
color,1,s,1,root,1,defend,1,insidious,1,portray,1,blond,3
heady,1,car,1,plantation,1,alertness,1,deformed,1,message,1,profile,3
morden,1,scenery,1,aa,1,fly,1,frontal,1,serenity,1,blur,3
classic,1,vintage,1,strange,1,high,1,specifically,1,2,1,gold,3
great,1,clean,1,brownish,1,ready,1,outside,1,hang,1,ethereal,3
eith,1,showcase,1,light,1,ruffle,1,oil,1,fierce,1,dreamlike,3
add,1,architecture,1,naturalness,1,scatter,1,story,1,wild,1,animal,3
interesting,1,foreground,1,thin,1,darkness,1,have,1,second,1,resemble,3
unusual,1,fantastic,1,grey,1,light,1,mechanical,1,t.he,1,central,3
touch,1,fancy,1,cloud,1,,0,spike,1,high,1,somewhat,3
potray,1,imaginary,1,flora,1,,0,mute,1,eliminate,1,colored,3
maybe,1,sit,1,artwork,1,,0,focus,1,friendship,1,calm,3
gradient,1,bushy,1,oil,1,,0,unpleasant,1,exist,1,add,3
cap,1,wrap,1,animate,1,,0,heard,1,act,1,unusual,3
poetic,1,overlook,1,climber,1,,0,mans,1,dewy,1,shade,3
predominance,1,animate,1,reach,1,,0,nerve,1,sad,1,hawk,3
shade,1,dreamy,1,flow,1,,0,organism,1,colored,1,beneath,3
bright,1,beneath,1,gently,1,,0,symbolize,1,liitlle,1,ontop,3
cloth,1,dark,1,highlight,1,,0,go,1,baskt,1,jungle,3
overhead,1,strong,1,fair,1,,0,detailed,1,bouquet,1,village,3
cream,1,multi,1,chin,1,,0,natural,1,imaginative,1,clearly,3
sleeve,1,story,1,rubby,1,,0,colored,1,striking,1,right,3
tone,1,position,1,rule,1,,0,disfigure,1,central,1,go,3
ai,1,combine,1,third,1,,0,suppose,1,focus,1,reflect,3
generate,1,maybe,1,pose,1,,0,distort,1,expressive,1,water,3
stick,1,video,1,,0,,0,fragmented,1,beak,1,fantastical,3
beneath,1,game,1,,0,,0,mouth,1,emerge,1,detailed,3
neck,1,civilty,1,,0,,0,dreamlike,1,arrangement,1,consist,3
straight,1,live,1,,0,,0,eerie,1,forest,1,setting,3
ahead,1,stand,1,,0,,0,composition,1,fluffed,1,situate,3
alert,1,artificial,1,,0,,0,challenge,1,flowery,1,nice,3
good,1,natural,1,,0,,0,viewer,1,branch,1,combine,3
balance,1,multiple,1,,0,,0,perception,1,bold,1,visible,3
composition,1,connect,1,,0,,0,village,1,offspring,1,autumnal,3
incorporate,1,rise,1,,0,,0,explosion,1,wing,1,autumn,3
rule,1,visible,1,,0,,0,cold,1,intricately,1,tangle,3
third,1,amazing,1,,0,,0,boy,1,bead,1,entwine,3
clear,1,landscape,1,,0,,0,graphic,1,stunning,1,idea,3
scheme,1,otherworldly,1,,0,,0,detail,1,textured,1,thorn,3
choose,1,foundation,1,,0,,0,spocky,1,effect,1,partially,3
highlighting,1,stylized,1,,0,,0,burst,1,composition,1,stem,3
crude,1,wonderland,1,,0,,0,blow,1,mystical,1,texture,3
modern,1,morning,1,,0,,0,steampunk,1,appearance,1,mute,3
,0,midday,1,,0,,0,theme,1,realism,1,watercolour,3
,0,brighten,1,,0,,0,doll,1,motion,1,tendril,3
,0,concrete,1,,0,,0,wide,1,probably,1,intricate,3
,0,classical,1,,0,,0,exaggerated,1,delicacy,1,wild,3
,0,,0,,0,,0,facial,1,give,1,stylize,3
,0,,0,,0,,0,popping,1,shade,1,intertwine,3
,0,,0,,0,,0,cluster,1,nesting,1,artwork,3
,0,,0,,0,,0,six,1,scarecrow,1,circular,3
,0,,0,,0,,0,intertwine,1,od,1,mainly,3
,0,,0,,0,,0,suspend,1,green,1,movement,3
,0,,0,,0,,0,decadency,1,stick,1,real,3
,0,,0,,0,,0,vertically,1,acorn,1,sense,3
,0,,0,,0,,0,haunting,1,hybrid,1,power,3
,0,,0,,0,,0,distorted,1,majestic,1,chaotic,3
,0,,0,,0,,0,bulge,1,prey,1,eyeball,3
,0,,0,,0,,0,outward,1,camouflage,1,item,3
,0,,0,,0,,0,set,1,shift,1,orb,3
,0,,0,,0,,0,brown,1,peace,1,unknown,3
,0,,0,,0,,0,cream,1,center,1,tell,3
,0,,0,,0,,0,demonic,1,balanced,1,sever,3
,0,,0,,0,,0,snail,1,atmosphere,1,help,3
,0,,0,,0,,0,thorn,1,,0,organ,3
,0,,0,,0,,0,swollen,1,,0,compose,3
,0,,0,,0,,0,juice,1,,0,corner,3
,0,,0,,0,,0,creature,1,,0,photographic,2
,0,,0,,0,,0,bold,1,,0,strike,2
,0,,0,,0,,0,melt,1,,0,slight,2
,0,,0,,0,,0,connect,1,,0,floral,2
,0,,0,,0,,0,effect,1,,0,plain,2
,0,,0,,0,,0,3d,1,,0,frilly,2
,0,,0,,0,,0,lamp,1,,0,outside,2
,0,,0,,0,,0,virus,1,,0,portraiture,2
,0,,0,,0,,0,weapon,1,,0,marbled,2
,0,,0,,0,,0,allude,1,,0,flowery,2
,0,,0,,0,,0,violent,1,,0,elegant,2
,0,,0,,0,,0,death,1,,0,stretch,2
,0,,0,,0,,0,gore,1,,0,giant,2
,0,,0,,0,,0,ish,1,,0,aesthetic,2
,0,,0,,0,,0,horrific,1,,0,give,2
,0,,0,,0,,0,compose,1,,0,wall,2
,0,,0,,0,,0,balanced,1,,0,way,2
,0,,0,,0,,0,choose,1,,0,arm,2
,0,,0,,0,,0,illustrate,1,,0,screen,2
,0,,0,,0,,0,,0,,0,take,2
,0,,0,,0,,0,,0,,0,studio,2
,0,,0,,0,,0,,0,,0,live,2
,0,,0,,0,,0,,0,,0,blended,2
,0,,0,,0,,0,,0,,0,palette,2
,0,,0,,0,,0,,0,,0,atmosphere,2
,0,,0,,0,,0,,0,,0,delicate,2
,0,,0,,0,,0,,0,,0,s,2
,0,,0,,0,,0,,0,,0,corvus,2
,0,,0,,0,,0,,0,,0,center,2
,0,,0,,0,,0,,0,,0,wash,2
,0,,0,,0,,0,,0,,0,cold,2
,0,,0,,0,,0,,0,,0,camera,2
,0,,0,,0,,0,,0,,0,angle,2
,0,,0,,0,,0,,0,,0,chin,2
,0,,0,,0,,0,,0,,0,hear,2
,0,,0,,0,,0,,0,,0,fair,2
,0,,0,,0,,0,,0,,0,haired,2
,0,,0,,0,,0,,0,,0,standing,2
,0,,0,,0,,0,,0,,0,ready,2
,0,,0,,0,,0,,0,,0,seamlessly,2
,0,,0,,0,,0,,0,,0,integrate,2
,0,,0,,0,,0,,0,,0,wide,2
,0,,0,,0,,0,,0,,0,hold,2
,0,,0,,0,,0,,0,,0,great,2
,0,,0,,0,,0,,0,,0,interesting,2
,0,,0,,0,,0,,0,,0,serene,2
,0,,0,,0,,0,,0,,0,maybe,2
,0,,0,,0,,0,,0,,0,predominance,2
,0,,0,,0,,0,,0,,0,cream,2
,0,,0,,0,,0,,0,,0,alert,2
,0,,0,,0,,0,,0,,0,good,2
,0,,0,,0,,0,,0,,0,balance,2
,0,,0,,0,,0,,0,,0,rule,2
,0,,0,,0,,0,,0,,0,third,2
,0,,0,,0,,0,,0,,0,choose,2
,0,,0,,0,,0,,0,,0,theme,2
,0,,0,,0,,0,,0,,0,depiction,2
,0,,0,,0,,0,,0,,0,film,2
,0,,0,,0,,0,,0,,0,sunny,2
,0,,0,,0,,0,,0,,0,day,2
,0,,0,,0,,0,,0,,0,ancient,2
,0,,0,,0,,0,,0,,0,platform,2
,0,,0,,0,,0,,0,,0,town,2
,0,,0,,0,,0,,0,,0,probably,2
,0,,0,,0,,0,,0,,0,future,2
,0,,0,,0,,0,,0,,0,top,2
,0,,0,,0,,0,,0,,0,sun,2
,0,,0,,0,,0,,0,,0,skyscraper,2
,0,,0,,0,,0,,0,,0,column,2
,0,,0,,0,,0,,0,,0,kingdom,2
,0,,0,,0,,0,,0,,0,amidst,2
,0,,0,,0,,0,,0,,0,brownish,2
,0,,0,,0,,0,,0,,0,stone,2
,0,,0,,0,,0,,0,,0,space,2
,0,,0,,0,,0,,0,,0,flock,2
,0,,0,,0,,0,,0,,0,remind,2
,0,,0,,0,,0,,0,,0,cliff,2
,0,,0,,0,,0,,0,,0,digitize,2
,0,,0,,0,,0,,0,,0,main,2
,0,,0,,0,,0,,0,,0,breathtaking,2
,0,,0,,0,,0,,0,,0,sunlight,2
,0,,0,,0,,0,,0,,0,present,2
,0,,0,,0,,0,,0,,0,imaginary,2
,0,,0,,0,,0,,0,,0,animate,2
,0,,0,,0,,0,,0,,0,strong,2
,0,,0,,0,,0,,0,,0,multi,2
,0,,0,,0,,0,,0,,0,story,2
,0,,0,,0,,0,,0,,0,artificial,2
,0,,0,,0,,0,,0,,0,connect,2
,0,,0,,0,,0,,0,,0,rise,2
,0,,0,,0,,0,,0,,0,design,2
,0,,0,,0,,0,,0,,0,bush,2
,0,,0,,0,,0,,0,,0,contain,2
,0,,0,,0,,0,,0,,0,lipstick,2
,0,,0,,0,,0,,0,,0,womans,2
,0,,0,,0,,0,,0,,0,ramification,2
,0,,0,,0,,0,,0,,0,double,2
,0,,0,,0,,0,,0,,0,entangle,2
,0,,0,,0,,0,,0,,0,weed,2
,0,,0,,0,,0,,0,,0,nose,2
,0,,0,,0,,0,,0,,0,gloomy,2
